actor_id,actor_name,category,count (film),last_update
1,PENELOPE GUINESS,"6, 2, 13, 10, 14, 4, 11, 15, 10, 8, 11, 3, 9, 13, 11, 8, 5, 4, 12",19,2006-02-15
2,NICK WAHLBERG,"6, 8, 9, 1, 14, 8, 13, 4, 2, 13, 4, 14, 9, 8, 13, 3, 16, 12, 8, 5, 13, 10, 5, 16, 7",25,2006-02-15
3,ED CHASE,"12, 6, 15, 16, 1, 9, 13, 1, 6, 4, 6, 6, 15, 4, 7, 7, 13, 7, 6, 14, 9, 6",22,2006-02-15
4,JENNIFER DAVIS,"2, 13, 1, 6, 7, 16, 2, 7, 12, 15, 13, 6, 13, 15, 6, 14, 12, 14, 8, 5, 11, 14",22,2006-02-15
5,JOHNNY LOLLOBRIGIDA,"1, 12, 6, 7, 11, 7, 5, 14, 16, 16, 10, 13, 14, 1, 15, 3, 12, 15, 11, 6, 6, 11, 6, 13, 1, 16, 14, 15, 2",29,2006-02-15
6,BETTE NICHOLSON,"1, 8, 4, 2, 9, 6, 14, 2, 15, 16, 15, 3, 15, 15, 9, 2, 16, 2, 15, 13",20,2006-02-15
7,GRACE MOSTEL,"13, 15, 11, 1, 13, 9, 7, 10, 7, 7, 1, 11, 9, 15, 4, 7, 4, 14, 15, 7, 7, 9, 2, 13, 13, 9, 2, 7, 9, 3",30,2006-02-15
8,MATTHEW JOHANSSON,"9, 1, 12, 7, 14, 1, 12, 15, 13, 7, 8, 4, 15, 4, 12, 9, 7, 2, 4, 12",20,2006-02-15
9,JOE SWANK,"11, 12, 8, 9, 3, 10, 7, 16, 2, 7, 6, 6, 15, 1, 11, 12, 16, 4, 2, 3, 3, 16, 6, 1, 13",25,2006-02-15
10,CHRISTIAN GABLE,"6, 11, 3, 10, 13, 7, 12, 4, 5, 1, 6, 4, 2, 11, 15, 16, 9, 14, 1, 6, 12, 12",22,2006-02-15
11,ZERO CAGE,"2, 1, 10, 13, 8, 13, 1, 15, 2, 15, 3, 15, 9, 6, 10, 12, 7, 1, 11, 6, 3, 3, 5, 7, 16",25,2006-02-15
12,KARL BERRY,"9, 12, 11, 4, 4, 11, 7, 13, 14, 2, 8, 13, 2, 3, 6, 9, 15, 6, 16, 12, 11, 15, 13, 5, 11, 7, 6, 1, 5, 2, 6",31,2006-02-15
13,UMA WOOD,"12, 1, 13, 16, 3, 13, 2, 1, 14, 15, 9, 4, 10, 5, 6, 2, 16, 3, 5, 5, 8, 6, 3, 10, 11, 12, 15, 2, 14, 8, 3, 4, 7, 6, 11",35,2006-02-15
14,VIVIEN BERGEN,"2, 15, 10, 2, 1, 12, 11, 12, 1, 3, 11, 1, 7, 12, 16, 11, 11, 4, 4, 15, 3, 13, 15, 13, 11, 15, 9, 10, 13, 4",30,2006-02-15
15,CUBA OLIVIER,"8, 2, 4, 13, 16, 10, 11, 3, 2, 16, 9, 4, 9, 5, 2, 3, 1, 3, 13, 15, 16, 8, 14, 2, 14, 10, 1, 14",28,2006-02-15
16,FRED COSTNER,"8, 16, 6, 2, 13, 14, 7, 6, 13, 8, 1, 3, 1, 8, 10, 15, 9, 2, 15, 4, 2, 2, 1, 7, 15, 2, 14",27,2006-02-15
17,HELEN VOIGHT,"13, 5, 3, 5, 2, 6, 9, 10, 3, 10, 11, 12, 6, 4, 5, 9, 3, 7, 3, 8, 15, 6, 9, 1, 11, 3, 3, 4, 2, 13, 9, 3",32,2006-02-15
18,DAN TORN,"14, 16, 13, 7, 2, 15, 3, 13, 16, 9, 12, 4, 4, 13, 15, 1, 4, 10, 14, 3, 15, 7",22,2006-02-15
19,BOB FAWCETT,"11, 6, 13, 3, 5, 2, 1, 10, 4, 5, 8, 7, 13, 2, 16, 2, 6, 12, 14, 13, 12, 5, 7, 16, 12",25,2006-02-15
20,LUCILLE TRACY,"6, 12, 8, 14, 7, 14, 8, 2, 8, 6, 8, 7, 4, 5, 13, 8, 11, 9, 13, 6, 7, 4, 4, 14, 1, 6, 16, 14, 4, 16",30,2006-02-15
21,KIRSTEN PALTROW,"9, 16, 16, 6, 5, 7, 1, 10, 13, 12, 12, 15, 6, 10, 1, 5, 13, 8, 11, 15, 6, 14, 11, 2, 14, 13, 12",27,2006-02-15
22,ELVIS MARX,"11, 2, 1, 2, 1, 7, 15, 16, 2, 14, 7, 2, 10, 3, 11, 4, 11, 8, 16, 3, 4, 10, 7, 1, 14, 1",26,2006-02-15
23,SANDRA KILMER,"9, 15, 2, 1, 4, 10, 16, 1, 13, 14, 15, 14, 3, 9, 8, 9, 14, 3, 4, 1, 12, 2, 12, 15, 7, 15, 11, 2, 16, 3, 10, 3, 6, 11, 13, 16, 12",37,2006-02-15
